DateTime,AP,AP GF,CB DWT,CB GF,CB NPI,CB OPF,CB TLO,CC DWT,CC GF,CC HYD,CC NPI,CC OPF1,CC OPF2,CC SY,EW DWT,EW FF ART,EW FF CMP,EW FF NPI,EW GF,EW NPI,EW OPF,EW SY,FF DWT,FF NPI,FT OPF,IB CHF,IB DWT,IB GF,IB NPI,IB OPF,KA BEL,KV OPF,MS DWT,MS GF,MS NPI,MS OPF,NY GF,RO,SM DWT,SM GF,SM NPI,SM TLO,SM FT OPF,SM KV OPF
25/04/2024 22:30,40.99,0,0,1.08,1.312723194,22.07,0,0,0,0.8,2.025794263,12.79,17.67,3.43,0,0,0,0,0,1.349884471,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.490124064,2.19,0,0
25/04/2024 23:00,39.43,0,0,1.08,1.287135419,22.07,0,0,0,0.8,1.974674316,12.79,17.67,0,0,0,0,0,0,1.345126039,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.429553122,3.72,0,0
25/04/2024 23:30,39.43,0,0,1.08,1.264352299,22.07,0,0,0,0.8,1.923455025,12.79,17.67,0,0,0,0,0,0,1.336868789,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.386478625,3.72,0,0
26/04/2024 0:00,37.92,0,0,1.08,1.216975573,22.07,0.83,0,0,0.8,1.872780156,12.79,17.67,2.35,0,0,0,0,0,1.326186284,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.341910873,3.82,0,0
26/04/2024 0:30,37.92,0,0,1.08,1.190887643,22.07,0.83,0,0,0.8,1.836039315,12.79,17.67,2.35,0,0,0,0,0,1.322590163,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.312101481,3.82,0,0
26/04/2024 1:00,35.46,0,0,1.08,1.195218188,22.07,4.34,0,0,0.8,1.809279247,12.79,17.67,3.17,0,0,0,0,0,1.316215194,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.294975884,3.82,0,0
26/04/2024 1:30,35.46,0,0,1.08,1.183314255,22.07,4.34,0,0,0.8,1.786388357,12.79,17.67,3.17,0,0,0,0,0,1.313886822,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.278273566,3.82,0,0
26/04/2024 2:00,40.75,0,0,1.08,1.181121548,22.07,3.48,0,0,0.8,1.81187832,12.79,17.67,3.17,0,0,0,0,0,1.321672971,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.271174187,3.74,0,0
26/04/2024 2:30,40.75,0,0,1.08,1.171155658,22.07,3.48,0,0,0.8,1.815361271,12.79,17.67,3.17,0,0,0,0,0,1.328043518,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.273272693,3.74,0,0
26/04/2024 3:00,39.61,0,0,1.08,1.219421044,22.07,0,0,0,0.8,1.863094992,12.79,17.67,2.64,0,0,0,0,0,1.333397271,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.285008049,3.91,0,0
26/04/2024 3:30,39.61,0,0,1.08,1.324410151,22.07,0,0,0,0.8,2.039735176,12.79,17.67,2.64,0,0,0,0,0,1.319931293,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.368127005,3.91,0,0
