MONTH,DAY,PERIOD,1,2,3,4,5,6,7,8,9,10
1,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,11,0.0,0.010752551,0.012701531,0.009406463,0.006646088,0.010784864,0.01122534,0.009927721,0.009596088,0.004123724
1,3,12,0.0,0.010752551,0.012701531,0.009406463,0.006646088,0.010784864,0.01122534,0.009927721,0.009596088,0.004123724
1,3,13,0.0,0.405790816,0.432704082,0.383537415,0.179141156,0.405858844,0.404812925,0.341164966,0.37667517,0.367397959
1,3,14,0.0,0.405790816,0.432704082,0.383537415,0.179141156,0.405858844,0.404812925,0.341164966,0.37667517,0.367397959
1,3,15,0.016865646,0.733681973,0.768061224,0.709702381,0.29545068,0.728767007,0.742746599,0.712185374,0.714056122,0.536522109
1,3,16,0.016865646,0.733681973,0.768061224,0.709702381,0.29545068,0.728767007,0.742746599,0.712185374,0.714056122,0.536522109
1,3,17,0.019361395,0.806258503,0.844744898,0.804302721,0.451267007,0.811641156,0.810680272,0.816998299,0.804957483,0.823860544
1,3,18,0.019361395,0.806258503,0.844744898,0.804302721,0.451267007,0.811641156,0.810680272,0.816998299,0.804957483,0.823860544
1,3,19,0.05454932,0.832380952,0.879379252,0.844855442,0.50037415,0.854234694,0.849770408,0.853869048,0.830459184,0.84462585
1,3,20,0.05454932,0.832380952,0.879379252,0.844855442,0.50037415,0.854234694,0.849770408,0.853869048,0.830459184,0.84462585
1,3,21,0.094702381,0.831267007,0.892636054,0.86420068,0.665501701,0.875119048,0.864931973,0.868613946,0.848188776,0.86162415
1,3,22,0.094702381,0.831267007,0.892636054,0.86420068,0.665501701,0.875119048,0.864931973,0.868613946,0.848188776,0.86162415
1,3,23,0.199260204,0.837032313,0.902193878,0.831309524,0.599642857,0.87744898,0.865467687,0.871411565,0.854141156,0.868818027
1,3,24,0.199260204,0.837032313,0.902193878,0.831309524,0.599642857,0.87744898,0.865467687,0.871411565,0.854141156,0.868818027
1,3,25,0.201870748,0.842482993,0.899982993,0.718639456,0.487040816,0.876964286,0.860748299,0.869991497,0.839744898,0.866071429
1,3,26,0.201870748,0.842482993,0.899982993,0.718639456,0.487040816,0.876964286,0.860748299,0.869991497,0.839744898,0.866071429
1,3,27,0.189897959,0.827848639,0.893988095,0.712687075,0.486870748,0.871207483,0.851717687,0.859285714,0.832346939,0.847091837
1,3,28,0.189897959,0.827848639,0.893988095,0.712687075,0.486870748,0.871207483,0.851717687,0.859285714,0.832346939,0.847091837
1,3,29,0.136403061,0.685722789,0.876420068,0.789421769,0.763520408,0.851003401,0.762959184,0.645748299,0.776003401,0.77789966
1,3,30,0.136403061,0.685722789,0.876420068,0.789421769,0.763520408,0.851003401,0.762959184,0.645748299,0.776003401,0.77789966
