DateTime,bus,p_set
2024-04-26 03:30:00,SM GF,2.11
2024-04-26 03:30:00,SM KV OPF,0.0
2024-04-26 03:30:00,SM NPI,1.368127005
2024-04-26 03:30:00,SM TLO,3.91
2024-04-26 04:00:00,IB GF,0.0
2024-04-26 04:00:00,IB NPI,2.5
2024-04-26 04:00:00,IB OPF,64.18
2024-04-26 04:00:00,SM FT OPF,0.0
2024-04-26 04:00:00,SM GF,2.11
2024-04-26 04:00:00,SM KV OPF,0.0
2024-04-26 04:00:00,SM NPI,1.508964519
2024-04-26 04:00:00,SM TLO,3.91
2024-04-26 04:30:00,IB GF,0.0
2024-04-26 04:30:00,IB NPI,2.5
2024-04-26 04:30:00,IB OPF,64.18
2024-04-26 04:30:00,SM FT OPF,0.0
2024-04-26 04:30:00,SM GF,2.11
2024-04-26 04:30:00,SM KV OPF,0.0
2024-04-26 04:30:00,SM NPI,1.567713938
2024-04-26 04:30:00,SM TLO,3.91
2024-04-26 05:00:00,IB GF,0.0
2024-04-26 05:00:00,IB NPI,2.5
2024-04-26 05:00:00,IB OPF,64.18
2024-04-26 05:00:00,SM FT OPF,0.0
2024-04-26 05:00:00,SM GF,2.11
2024-04-26 05:00:00,SM KV OPF,0.0
2024-04-26 05:00:00,SM NPI,1.52901291
2024-04-26 05:00:00,SM TLO,3.57
2024-04-26 05:30:00,IB GF,0.0
2024-04-26 05:30:00,IB NPI,2.5
2024-04-26 05:30:00,IB OPF,64.18
2024-04-26 05:30:00,SM FT OPF,0.0
2024-04-26 05:30:00,SM GF,2.11
2024-04-26 05:30:00,SM KV OPF,0.0
2024-04-26 05:30:00,SM NPI,1.503276896
2024-04-26 05:30:00,SM TLO,3.57
2024-04-26 06:00:00,IB GF,0.0
2024-04-26 06:00:00,IB NPI,2.5
2024-04-26 06:00:00,IB OPF,64.18
2024-04-26 06:00:00,SM FT OPF,0.0
2024-04-26 06:00:00,SM GF,2.11
2024-04-26 06:00:00,SM KV OPF,0.0
2024-04-26 06:00:00,SM NPI,1.542660543
2024-04-26 06:00:00,SM TLO,3.91
2024-04-26 06:30:00,IB GF,0.0
2024-04-26 06:30:00,IB NPI,2.5
2024-04-26 06:30:00,IB OPF,64.18
2024-04-26 06:30:00,SM FT OPF,0.0
2024-04-26 06:30:00,SM GF,2.11
2024-04-26 06:30:00,SM KV OPF,0.0
2024-04-26 06:30:00,SM NPI,1.570126423
2024-04-26 06:30:00,SM TLO,3.91
2024-04-26 07:00:00,IB GF,0.0
2024-04-26 07:00:00,IB NPI,2.5
2024-04-26 07:00:00,IB OPF,64.18
2024-04-26 07:00:00,SM FT OPF,0.0
2024-04-26 07:00:00,SM GF,2.11
2024-04-26 07:00:00,SM KV OPF,0.0
2024-04-26 07:00:00,SM NPI,1.594911113
2024-04-26 07:00:00,SM TLO,3.91
2024-04-26 07:30:00,IB GF,0.0
2024-04-26 07:30:00,IB NPI,2.5
2024-04-26 07:30:00,IB OPF,64.18
2024-04-26 07:30:00,SM FT OPF,0.0
2024-04-26 07:30:00,SM GF,2.11
2024-04-26 07:30:00,SM KV OPF,0.0
2024-04-26 07:30:00,SM NPI,1.5944933
2024-04-26 07:30:00,SM TLO,3.91
2024-04-26 08:00:00,IB GF,0.0
2024-04-26 08:00:00,IB NPI,2.5
2024-04-26 08:00:00,IB OPF,64.18
2024-04-26 08:00:00,SM FT OPF,0.0
2024-04-26 08:00:00,SM GF,2.11
2024-04-26 08:00:00,SM KV OPF,0.0
2024-04-26 08:00:00,SM NPI,1.581832277
2024-04-26 08:00:00,SM TLO,3.72
